Number of nodes 296 
   405 :    216    257     82
   406 :     87    256    217
   407 :     83    258    216
   408 :    129    264    235
   409 :    270    271    161
   410 :     27    282    124
   411 :    163    259    245
   412 :    188    295    269
   413 :    268    294    187
   414 :     85    292    271
   415 :    209    277    149
   416 :    125    288     93
   417 :    151    291    127
   418 :     72    295     11
   419 :     76    294     12
   420 :     11    295     71
   421 :     12    294     75
   422 :    223    258     84
   423 :    258    279    216
   424 :    249    265    190
   425 :    193    272    251
   426 :    170    287    137
   427 :    126    286    150
   428 :    233    264    170
   429 :    146    273    240
   430 :    241    274    165
   431 :    173    290    219
   432 :    212    293    140
   433 :     28    275    145
   434 :    227    273    174
   435 :    175    274    228
   436 :    141    275     28
   437 :    179    289    229
   438 :    217    292     86
   439 :    278    292    217
   440 :    275    276    230
   441 :    141    276    275
   442 :    175    293    274
   443 :    273    290    174
   444 :    141    285    276
   445 :    281    285    141
   446 :    145    289    280
   447 :     75    294    268
   448 :    269    295     72
   449 :    276    285    181
   450 :    280    289    179
   451 :    180    285    281
   452 :    110      1    109
   453 :    111      1    110
   454 :    113      2    112
   455 :    114      2    113
   456 :    105      3     91
   457 :    106      3    105
   458 :      4    117    118
   459 :      4    118    119
   460 :     91     23    105
   461 :    110     24    111
   462 :    112     25    113
   463 :    118     26    119
Number of domains 28
  Domain :      0 
  Name : Entity 0 
  Number of elements :      7
     0     1     2     3     4     5     6
  Domain :      1 
  Name : Entity 1 
  Number of elements :      7
     7     8     9    10    11    12    13
  Domain :      2 
  Name : Entity 2 
  Number of elements :     14
    14    15    16    17    18    19    20    21    22    23
    24    25    26    27
  Domain :      3 
  Name : Entity 3 
  Number of elements :      8
    28    29    30    31    32    33    34    35
  Domain :      4 
  Name : Entity 4 
  Number of elements :      8
    36    37    38    39    40    41    42    43
  Domain :      5 
  Name : Entity 5 
  Number of elements :      2
    44    45
  Domain :      6 
  Name : Entity 6 
  Number of elements :      2
    46    47
  Domain :      7 
  Name : Entity 7 
  Number of elements :      2
    48    49
